"signal_std","wl_side","R_val","RR_r_0.RR_r_1","P_val","Q_val","label"
0.18055479420107,0.575757575757576,0.632506651636951,0.247354712128985,0.17793896011747,0.510478049641214,0
0.187377368538821,0.46969696969697,0.426706454002892,0.279966901672662,0.182799927827223,0.532706544700746,0
0.072933185470783,0.522727272727273,0.350103803366253,0.24639823505269,0.175291641633719,0.489396695669914,0
0.570255564757231,0.863636363636364,0.903172752067883,0.216705402739135,0.0632583388517973,0.496319827845977,0
0.157408884617943,0.492424242424242,0.422463341873529,0.274067191392323,0.223284400350327,0.541345105358008,0
0.381966775238864,0.25,0.769732901078442,0.248818470569631,0.26378764437155,0.563346648976389,0
0.186328114700184,0.590909090909091,0.56054022426871,0.264382106234458,0.0943818896910106,0.461006012683701,0
0.0888132771094754,0.507575757575758,0.390646472452423,0.242821037870228,0.162728643262449,0.485934032937705,0
0.160382428171279,0.416666666666667,0.552011815504325,0.277197460745419,0.286803272938344,0.584644297157218,0
0.154519840340119,0.439393939393939,0.415499588816576,0.244987204592403,0.257586268233448,0.566017327181048,0
0.318217841134294,0.537878787878788,0.684995770053729,0.257467952264357,0.112532646645894,0.529764312406945,0
0.0796692937693684,0.628787878787879,0.339698695023556,0.272310486614819,0.174145829938848,0.498051413884695,0
0.16548605684407,0.590909090909091,0.544529427282643,0.259273888002816,0.127377560044131,0.486750453924677,0
0.0928354408908594,0.560606060606061,0.369403660781995,0.249962031851386,0.19298735909106,0.500042043803224,0
0.201152744075729,0.659090909090909,0.604158587895821,0.274425382757686,0.1459817778792,0.482722190262454,0
0.201095821859787,0.409090909090909,0.417347895789613,0.273133394832852,0.216662186877121,0.527702549863687,0
0.182923332214519,0.431818181818182,0.452306106725646,0.24271947706694,0.240052212644573,0.55742848489641,0
0.187692200118069,0.484848484848485,0.434526164087012,0.261343189369801,0.204566245110317,0.537361710767702,0
0.068859996615049,0.545454545454545,0.348151841750105,0.255639992919331,0.186641203730553,0.500257790941378,0
0.19250322857529,0.583333333333333,0.630264237889611,0.248818470569631,0.147240986653394,0.486418009900983,0
0.175953221786055,0.583333333333333,0.587034693871719,0.269374884506063,0.1265546924862,0.471521906652109,0
0.376048579453561,0.28030303030303,0.741269396968204,0.261982791610505,0.193632846469314,0.512045221517663,0
0.201933861750264,0.401515151515151,0.538271535364301,0.259273888002816,0.314470551756681,0.608032286173928,0
0.169297455140221,0.560606060606061,0.555428421208302,0.250352349175099,0.175156986504258,0.514393222275284,0
0.217272792267351,0.409090909090909,0.484014456088935,0.246943706064371,0.229581245315486,0.554359738536809,0
0.0936621562771479,0.507575757575758,0.435798354052726,0.261184012341571,0.205938173121205,0.518545246220323,0
0.269181252868008,0.818181818181818,0.668490116797147,0.265396752321565,0.188083157070154,0.5652208043047,0
0.192415526646152,0.560606060606061,0.605829381980879,0.254076572941553,0.164220568325576,0.494547268681537,0
0.406708509888172,0.265151515151515,0.829360339787392,0.259273888002816,0.272790055851357,0.565868294861308,0
0.186971477783517,0.416666666666667,0.441911816672678,0.252978548632835,0.207698564163524,0.551581111658022,0
0.380624436678042,0.295454545454545,0.773916145847991,0.213819403738207,0.30594721773415,0.579099339554042,0
0.281707370468116,0.46969696969697,0.658471132274299,0.234293579285207,0.173983020973777,0.547617553915011,0
0.0754064751128101,0.515151515151515,0.359282668893105,0.259273888002816,0.162806330348275,0.493843569728312,0
0.181931553084607,0.446969696969697,0.446788368147741,0.257190115996902,0.20410760274453,0.541588461390414,0
0.157276307905689,0.636363636363636,0.565828743331123,0.262427109133459,0.15477161278854,0.502579245133329,0
0.185494229567054,0.439393939393939,0.413687903881049,0.241275132488642,0.184733617158565,0.523330110266414,0
0.154193048881209,0.613636363636364,0.564225608146407,0.25076019095008,0.165587376385921,0.532895786090275,0
0.190439344035856,0.613636363636364,0.592186120804097,0.273053282076609,0.147461663687591,0.508434669429971,0
0.499618096617906,0.863636363636364,0.888229642191663,0.267255478989757,0.0318302215336299,0.46034882599866,0
0.189718920767055,0.575757575757576,0.592052040097654,0.270242454757876,0.116362998060001,0.471069105952559,0
