Var1,Var2,Correlation,p-value
signal_std,wl_side,-0.32212437822728024,0.0
signal_std,R_val,0.6710000177746182,0.0
signal_std,RR_r_0/RR_r_1,-0.3046208681581755,0.0
signal_std,P_val,-0.058770713327822896,0.20056
signal_std,Q_val,-0.14083435822272344,0.00207
wl_side,R_val,-0.37556977087307303,0.0
wl_side,RR_r_0/RR_r_1,-0.11753567156683799,0.01027
wl_side,P_val,0.056851323595604984,0.21568
wl_side,Q_val,0.27326246630268425,0.0
R_val,RR_r_0/RR_r_1,-0.035987553873430826,0.43342
R_val,P_val,0.21230745142499236,0.0
R_val,Q_val,0.13657551648433675,0.00283
RR_r_0/RR_r_1,P_val,0.004411077246133762,0.92353
RR_r_0/RR_r_1,Q_val,0.023513284536010176,0.60885
P_val,Q_val,0.8175664270811471,0.0
